cp,municipio,estado,estado_clave,lat,lng
01000,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01010,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01020,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01029,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01030,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01040,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01048,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01049,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01050,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01060,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01070,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01080,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01089,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01090,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01100,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01109,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01110,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01120,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01125,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01130,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01139,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01140,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01150,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01159,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01160,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01170,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01180,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01184,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01200,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01210,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01219,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01220,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01230,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01239,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01240,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01250,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01259,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01260,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01269,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01270,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01275,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01276,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01278,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01279,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01280,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01285,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01289,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01290,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01296,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01298,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01299,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01310,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01320,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01330,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01340,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01376,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01377,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01379,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01389,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01400,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01407,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01408,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01410,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01419,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01420,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01430,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01440,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01450,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01460,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
01470,"Álvaro Obregón","Ciudad de México",CDMX,19.4326,-99.1332
